"","Player","Team","Age","GP","G","Freq","FGM","FGA","FG%","eFG%","2FG Freq","2FGM","2FGA","2FG%","3FG Freq","3PM","3PA","3P%","Season","Position"
"2216","Briante Weber","MIA","23","2","1","100%","0.0","0.5","0.0","0.0","100%","0.0","0.5","0.0","0.0%","0.0","0.0","-","2015","Guard"
"2217","Monta Ellis","DAL","29","5","5","100%","10.4","21.6","48.1","53.2","72.2%","8.2","15.6","52.6","27.8%","2.2","6.0","36.7","2014","Guard"
"2218","Stephen Curry","GSW","27","21","21","100%","9.5","20.0","47.6","59.3","45.0%","4.9","9.0","54.0","55.0%","4.7","11.0","42.4","2014","Guard"
"2219","DeMar DeRozan","TOR","25","4","4","100%","8.0","18.5","43.2","45.3","89.2%","7.3","16.5","43.9","10.8%","0.8","2.0","37.5","2014","Guard"
"2220","Bradley Beal","WAS","22","10","10","100%","8.1","18.4","44.0","50.3","66.3%","5.8","12.2","47.5","33.7%","2.3","6.2","37.1","2014","Guard"
"2221","Damian Lillard","POR","24","5","5","100%","7.8","18.2","42.9","45.6","65.9%","6.8","12.0","56.7","34.1%","1.0","6.2","16.1","2014","Guard"
"2222","Derrick Rose","CHI","26","12","12","100%","7.8","17.6","44.1","49.5","69.7%","5.8","12.3","47.6","30.3%","1.9","5.3","35.9","2014","Guard"
"2223","Jimmy Butler","CHI","25","12","12","100%","7.8","16.5","47.5","54.5","63.6%","5.5","10.5","52.4","36.4%","2.3","6.0","38.9","2014","Guard"
"2224","James Harden","HOU","25","17","17","100%","7.6","16.1","47.1","54.6","61.3%","5.2","9.9","52.4","38.7%","2.4","6.2","38.7","2014","Guard"
"2225","Chris Paul","LAC","30","12","12","100%","7.9","15.5","51.1","58.3","65.6%","5.7","10.2","55.7","34.4%","2.3","5.3","42.2","2014","Guard"
"2226","Joe Johnson","BKN","34","6","6","100%","5.7","15.3","37.0","43.5","56.5%","3.7","8.7","42.3","43.5%","2.0","6.7","30.0","2014","Guard"
"2227","Klay Thompson","GSW","25","21","21","100%","7.1","15.0","47.3","56.3","54.3%","4.4","8.1","53.8","45.7%","2.7","6.9","39.6","2014","Guard"
"2228","Eric Gordon","NOP","26","4","4","100%","7.0","15.0","46.7","57.5","48.3%","3.8","7.3","51.7","51.7%","3.3","7.8","41.9","2014","Guard"
"2229","John Wall","WAS","24","7","7","100%","6.1","15.0","41.0","42.4","83.8%","5.7","12.6","45.5","16.2%","0.4","2.4","17.6","2014","Guard"
"2230","Khris Middleton","MIL","23","6","6","100%","5.8","14.3","40.7","47.1","60.5%","4.0","8.7","46.2","39.5%","1.8","5.7","32.4","2014","Guard"
"2231","Jeff Teague","ATL","27","16","16","100%","6.1","14.3","43.0","47.6","71.9%","4.8","10.3","47.0","28.1%","1.3","4.0","32.8","2014","Guard"
"2232","Kyrie Irving","CLE","23","13","13","100%","6.2","13.3","46.8","54.6","65.9%","4.2","8.8","47.4","34.1%","2.1","4.5","45.8","2014","Guard"
"2233","Kyle Lowry","TOR","29","4","4","100%","4.5","12.8","35.3","40.2","58.8%","3.3","7.5","43.3","41.2%","1.3","5.3","23.8","2014","Guard"
"2234","Jamal Crawford","LAC","35","14","14","100%","4.8","12.4","38.5","43.7","59.2%","3.5","7.4","47.6","40.8%","1.3","5.1","25.4","2014","Guard"
"2235","Avery Bradley","BOS","24","4","4","100%","4.8","12.3","38.8","43.9","61.2%","3.5","7.5","46.7","38.8%","1.3","4.8","26.3","2014","Guard"
"2236","CJ McCollum","POR","23","5","5","100%","6.4","12.0","53.3","62.5","61.7%","4.2","7.4","56.8","38.3%","2.2","4.6","47.8","2014","Guard"
"2237","Tony Parker","SAS","33","7","7","100%","4.7","11.9","39.8","39.8","89.2%","4.7","10.6","44.6","10.8%","0.0","1.3","0.0","2014","Guard"
"2238","Michael Carter-Williams","MIL","23","6","6","100%","5.5","11.8","46.5","46.5","93.0%","5.5","11.0","50.0","7.0%","0.0","0.8","0.0","2014","Guard"
"2239","Isaiah Thomas","BOS","26","4","4","100%","4.5","11.8","38.3","41.5","63.8%","3.8","7.5","50.0","36.2%","0.8","4.3","17.6","2014","Guard"
"2240","Lou Williams","TOR","28","4","4","100%","4.0","11.8","34.0","38.3","55.3%","3.0","6.5","46.2","44.7%","1.0","5.3","19.0","2014","Guard"
"2241","JJ Redick","LAC","31","14","14","100%","5.0","11.4","43.8","54.7","45.6%","2.5","5.2","47.9","54.4%","2.5","6.2","40.2","2014","Guard"
"2242","Mike Conley","MEM","27","8","8","100%","5.1","11.4","45.1","50.5","63.7%","3.9","7.3","53.4","36.3%","1.3","4.1","30.3","2014","Guard"
"2243","JR Smith","CLE","29","18","18","100%","4.6","11.1","41.5","54.3","31.0%","1.8","3.4","51.6","69.0%","2.8","7.7","37.0","2014","Guard"
"2244","Deron Williams","BKN","31","6","6","100%","4.5","10.7","42.2","50.8","59.4%","2.7","6.3","42.1","40.6%","1.8","4.3","42.3","2014","Guard"
"2245","J.J. Barea","DAL","31","5","5","100%","5.0","10.4","48.1","51.9","69.2%","4.2","7.2","58.3","30.8%","0.8","3.2","25.0","2014","Guard"
"2246","Rajon Rondo","DAL","29","2","2","100%","4.5","9.5","47.4","50.0","89.5%","4.0","8.5","47.1","10.5%","0.5","1.0","50.0","2014","Guard"
"2247","Kyle Korver","ATL","34","14","14","100%","3.7","9.4","39.7","54.6","17.6%","0.9","1.6","56.5","82.4%","2.8","7.7","36.1","2014","Guard"
"2248","Evan Turner","BOS","26","4","4","100%","4.0","9.3","43.2","45.9","89.2%","3.5","8.3","42.4","10.8%","0.5","1.0","50.0","2014","Guard"
"2249","Bojan Bogdanovic","BKN","26","6","6","100%","3.8","9.2","41.8","51.8","41.8%","2.0","3.8","52.2","58.2%","1.8","5.3","34.4","2014","Guard"
"2250","Corey Brewer","HOU","29","17","17","100%","4.2","9.1","46.8","50.6","72.7%","3.5","6.6","53.6","27.3%","0.7","2.5","28.6","2014","Guard"
"2251","Tyler Ennis","MIL","20","1","1","100%","2.0","9.0","22.2","27.8","44.4%","1.0","4.0","25.0","55.6%","1.0","5.0","20.0","2014","Guard"
"2252","Tyreke Evans","NOP","25","4","4","100%","3.5","8.8","40.0","42.9","68.6%","3.0","6.0","50.0","31.4%","0.5","2.8","18.2","2014","Guard"
"2253","Courtney Lee","MEM","29","11","11","100%","5.0","8.6","57.9","65.3","68.4%","3.7","5.9","63.1","31.6%","1.3","2.7","46.7","2014","Guard"
"2254","Norris Cole","NOP","26","4","4","100%","3.8","8.5","44.1","48.5","58.8%","3.0","5.0","60.0","41.2%","0.8","3.5","21.4","2014","Guard"
"2255","O.J. Mayo","MIL","27","6","6","100%","3.0","8.5","35.3","41.2","62.7%","2.0","5.3","37.5","37.3%","1.0","3.2","31.6","2014","Guard"
"2256","Jarrett Jack","BKN","31","6","6","100%","4.7","8.3","56.0","61.0","74.0%","3.8","6.2","62.2","26.0%","0.8","2.2","38.5","2014","Guard"
"2257","Danny Green","SAS","28","7","7","100%","3.0","8.1","36.8","47.4","29.8%","1.3","2.4","52.9","70.2%","1.7","5.7","30.0","2014","Guard"
"2258","Dennis Schroder","ATL","21","16","16","100%","3.5","8.1","43.1","46.2","74.6%","3.0","6.1","49.5","25.4%","0.5","2.1","24.2","2014","Guard"
"2259","Andre Iguodala","GSW","31","21","21","100%","3.9","8.0","48.2","56.8","51.2%","2.5","4.1","60.5","48.8%","1.4","3.9","35.4","2014","Guard"
"2260","Iman Shumpert","CLE","25","20","20","100%","3.0","7.8","38.1","48.7","40.0%","1.3","3.1","41.9","60.0%","1.6","4.7","35.5","2014","Guard"
"2261","Jason Terry","HOU","37","17","17","100%","3.4","7.7","43.8","55.0","36.9%","1.6","2.8","58.3","63.1%","1.7","4.8","35.4","2014","Guard"
"2262","Marcus Smart","BOS","21","4","4","100%","3.5","7.3","48.3","53.4","55.2%","2.8","4.0","68.8","44.8%","0.8","3.3","23.1","2014","Guard"
"2263","Greivis Vasquez","TOR","28","4","4","100%","2.8","7.3","37.9","46.6","51.7%","1.5","3.8","40.0","48.3%","1.3","3.5","35.7","2014","Guard"
"2264","Terrence Ross","TOR","24","4","4","100%","2.8","7.0","39.3","50.0","39.3%","1.3","2.8","45.5","60.7%","1.5","4.3","35.3","2014","Guard"
"2265","Austin Rivers","LAC","22","14","14","100%","3.3","6.9","47.4","54.1","63.9%","2.4","4.4","53.2","36.1%","0.9","2.5","37.1","2014","Guard"
"2266","Alan Anderson","BKN","32","6","6","100%","4.2","6.8","61.0","73.2","61.0%","2.5","4.2","60.0","39.0%","1.7","2.7","62.5","2014","Guard"
"2267","Beno Udrih","MEM","32","10","10","100%","3.1","6.8","45.6","48.5","76.5%","2.7","5.2","51.9","23.5%","0.4","1.6","25.0","2014","Guard"
"2268","Ramon Sessions","WAS","29","10","10","100%","2.6","6.7","38.8","46.3","62.7%","1.6","4.2","38.1","37.3%","1.0","2.5","40.0","2014","Guard"
"2269","Quincy Pondexter","NOP","27","4","4","100%","2.5","6.5","38.5","44.2","61.5%","1.8","4.0","43.8","38.5%","0.8","2.5","30.0","2014","Guard"
"2270","Matthew Dellavedova","CLE","24","20","19","100%","2.4","6.5","36.4","45.7","41.1%","1.1","2.6","43.4","58.9%","1.2","3.8","31.6","2014","Guard"
"2271","Jrue Holiday","NOP","25","3","3","100%","2.3","6.0","38.9","41.7","77.8%","2.0","4.7","42.9","22.2%","0.3","1.3","25.0","2014","Guard"
"2272","Patty Mills","SAS","26","7","7","100%","3.0","5.9","51.2","70.7","31.7%","0.7","1.9","38.5","68.3%","2.3","4.0","57.1","2014","Guard"
"2273","Vince Carter","MEM","38","11","11","100%","2.5","5.8","42.2","47.7","56.3%","1.8","3.3","55.6","43.8%","0.6","2.5","25.0","2014","Guard"
"2274","Marco Belinelli","SAS","29","7","7","100%","2.9","5.6","51.3","69.2","23.1%","0.9","1.3","66.7","76.9%","2.0","4.3","46.7","2014","Guard"
"2275","Manu Ginobili","SAS","37","7","7","100%","2.1","5.6","38.5","48.7","46.2%","1.0","2.6","38.9","53.8%","1.1","3.0","38.1","2014","Guard"
"2276","Tony Allen","MEM","33","10","10","100%","2.8","5.5","50.9","51.8","87.3%","2.7","4.8","56.3","12.7%","0.1","0.7","14.3","2014","Guard"
"2277","Jerryd Bayless","MIL","26","6","6","100%","2.0","5.5","36.4","39.4","78.8%","1.7","4.3","38.5","21.2%","0.3","1.2","28.6","2014","Guard"
"2278","Devin Harris","DAL","32","4","4","100%","2.0","5.3","38.1","38.1","47.6%","2.0","2.5","80.0","52.4%","0.0","2.8","0.0","2014","Guard"
"2279","Raymond Felton","DAL","31","3","3","100%","1.3","5.0","26.7","26.7","73.3%","1.3","3.7","36.4","26.7%","0.0","1.3","0.0","2014","Guard"
"2280","Aaron Brooks","CHI","30","12","12","100%","1.8","4.7","37.5","44.6","53.6%","1.1","2.5","43.3","46.4%","0.7","2.2","30.8","2014","Guard"
"2281","Jared Dudley","MIL","29","6","6","100%","2.3","4.5","51.9","66.7","48.1%","1.0","2.2","46.2","51.9%","1.3","2.3","57.1","2014","Guard"
"2282","Will Bynum","WAS","32","3","3","100%","2.3","4.3","53.8","57.7","84.6%","2.0","3.7","54.5","15.4%","0.3","0.7","50.0","2014","Guard"
"2283","Kent Bazemore","ATL","25","16","16","100%","1.9","4.3","44.1","48.5","58.8%","1.5","2.5","60.0","41.2%","0.4","1.8","21.4","2014","Guard"
"2284","Leandro Barbosa","GSW","32","21","18","100%","1.9","4.0","47.0","51.8","72.3%","1.5","2.9","51.7","27.7%","0.4","1.1","34.8","2014","Guard"
"2285","Shelvin Mack","ATL","25","10","7","100%","1.5","3.8","39.5","47.4","44.7%","0.9","1.7","52.9","55.3%","0.6","2.1","28.6","2014","Guard"
"2286","Shaun Livingston","GSW","29","21","21","100%","2.0","3.6","56.0","56.0","98.7%","2.0","3.5","56.8","1.3%","0.0","0.1","0.0","2014","Guard"
"2287","Pablo Prigioni","HOU","38","17","17","100%","1.1","3.4","33.3","43.9","28.1%","0.4","0.9","43.8","71.9%","0.7","2.4","29.3","2014","Guard"
"2288","Arron Afflalo","POR","29","3","3","100%","0.7","3.3","20.0","25.0","60.0%","0.3","2.0","16.7","40.0%","0.3","1.3","25.0","2014","Guard"
"2289","Nick Calathes","MEM","26","10","6","100%","1.2","3.3","36.4","45.5","63.6%","0.6","2.1","28.6","36.4%","0.6","1.2","50.0","2014","Guard"
"2290","Markel Brown","BKN","23","2","2","100%","1.0","2.5","40.0","40.0","60.0%","1.0","1.5","66.7","40.0%","0.0","1.0","0.0","2014","Guard"
"2291","Steve Blake","POR","35","5","4","100%","0.4","2.2","18.2","22.7","27.3%","0.2","0.6","33.3","72.7%","0.2","1.6","12.5","2014","Guard"
"2292","Jorge Gutierrez","MIL","26","1","1","100%","1.0","2.0","50.0","50.0","100%","1.0","2.0","50.0","0.0%","0.0","0.0","-","2014","Guard"
"2293","Martell Webster","WAS","28","1","1","100%","1.0","2.0","50.0","50.0","50.0%","1.0","1.0","100","50.0%","0.0","1.0","0.0","2014","Guard"
"2294","Kirk Hinrich","CHI","34","10","8","100%","0.9","1.8","50.0","66.7","44.4%","0.3","0.8","37.5","55.6%","0.6","1.0","60.0","2014","Guard"
"2295","Lester Hudson","LAC","30","7","6","100%","0.9","1.7","50.0","58.3","41.7%","0.6","0.7","80.0","58.3%","0.3","1.0","28.6","2014","Guard"
"2296","E'Twaun Moore","CHI","26","3","3","100%","0.7","1.7","40.0","50.0","80.0%","0.3","1.3","25.0","20.0%","0.3","0.3","100","2014","Guard"
"2297","Brandon Rush","GSW","29","3","1","100%","0.3","1.7","20.0","30.0","60.0%","0.0","1.0","0.0","40.0%","0.3","0.7","50.0","2014","Guard"
"2298","Cory Joseph","SAS","23","4","3","100%","1.3","1.5","83.3","83.3","100%","1.3","1.5","83.3","0.0%","0.0","0.0","-","2014","Guard"
"2299","John Jenkins","ATL","24","4","2","100%","1.0","1.5","66.7","83.3","33.3%","0.5","0.5","100","66.7%","0.5","1.0","50.0","2014","Guard"
"2300","Garrett Temple","WAS","29","4","3","100%","0.3","1.5","16.7","16.7","50.0%","0.3","0.8","33.3","50.0%","0.0","0.8","0.0","2014","Guard"
"2301","Phil Pressey","BOS","24","2","2","100%","0.0","1.5","0.0","0.0","66.7%","0.0","1.0","0.0","33.3%","0.0","0.5","0.0","2014","Guard"
"2302","Nick Johnson","HOU","22","9","5","100%","0.4","1.4","30.8","34.6","53.8%","0.3","0.8","42.9","46.2%","0.1","0.7","16.7","2014","Guard"
"2303","Joe Harris","CLE","23","6","3","100%","0.3","1.0","33.3","41.7","50.0%","0.2","0.5","33.3","50.0%","0.2","0.5","33.3","2014","Guard"
"2304","Darius Morris","BKN","24","1","1","100%","0.0","1.0","0.0","0.0","100%","0.0","1.0","0.0","0.0%","0.0","0.0","-","2014","Guard"
"2305","Shawn Marion","CLE","37","6","3","100%","0.2","0.8","20.0","20.0","100%","0.2","0.8","20.0","0.0%","0.0","0.0","-","2014","Guard"
"2306","Jordan Adams","MEM","20","4","3","100%","0.5","0.8","66.7","83.3","66.7%","0.3","0.5","50.0","33.3%","0.3","0.3","100","2014","Guard"
"2307","Mike Miller","CLE","35","9","4","100%","0.3","0.6","60.0","90.0","0.0%","0.0","0.0","-","100%","0.3","0.6","60.0","2014","Guard"
"2308","Tim Frazier","POR","24","2","1","100%","0.0","0.5","0.0","0.0","100%","0.0","0.5","0.0","0.0%","0.0","0.0","-","2014","Guard"
"2309","Justin Holiday","GSW","26","5","2","100%","0.2","0.4","50.0","75.0","50.0%","0.0","0.2","0.0","50.0%","0.2","0.2","100","2014","Guard"
"2310","Dahntay Jones","LAC","34","11","2","100%","0.2","0.2","100","100","100%","0.2","0.2","100","0.0%","0.0","0.0","-","2014","Guard"
"2311","James Harden","HOU","24","6","6","100%","8.3","20.3","41.0","47.5","56.6%","5.7","11.5","49.3","43.4%","2.7","8.8","30.2","2013","Guard"
"2312","Russell Westbrook","OKC","25","19","19","100%","8.8","20.2","43.6","47.3","74.4%","7.3","15.0","48.8","25.6%","1.5","5.2","28.6","2013","Guard"
"2313","Monta Ellis","DAL","28","7","7","100%","7.4","17.4","42.6","47.5","72.1%","5.7","12.6","45.5","27.9%","1.7","4.9","35.3","2013","Guard"
"2314","DeMar DeRozan","TOR","24","7","7","100%","6.4","16.3","39.5","42.1","85.1%","5.6","13.9","40.2","14.9%","0.9","2.4","35.3","2013","Guard"
"2315","Stephen Curry","GSW","26","7","7","100%","7.3","15.9","45.9","55.9","48.6%","4.1","7.7","53.7","51.4%","3.1","8.1","38.6","2013","Guard"
"2316","Paul George","IND","24","19","19","100%","7.3","15.7","46.2","54.8","57.2%","4.5","9.0","50.3","42.8%","2.7","6.7","40.6","2013","Guard"
"2317","Damian Lillard","POR","23","11","11","100%","7.5","15.7","48.0","55.8","60.7%","5.1","9.6","53.3","39.3%","2.5","6.2","39.7","2013","Guard"
"2318","Bradley Beal","WAS","21","11","11","100%","6.8","15.2","44.9","51.5","68.3%","4.8","10.4","46.5","31.7%","2.0","4.8","41.5","2013","Guard"
"2319","Joe Johnson","BKN","33","12","12","100%","8.2","14.8","55.1","61.2","70.8%","6.3","10.5","60.3","29.2%","1.8","4.3","42.3","2013","Guard"
"2320","Kyle Lowry","TOR","28","7","7","100%","6.3","14.7","42.7","51.0","58.3%","3.9","8.6","45.0","41.7%","2.4","6.1","39.5","2013","Guard"
"2321","Chris Paul","LAC","29","13","13","100%","7.1","14.7","48.2","56.5","63.4%","4.6","9.3","49.6","36.6%","2.5","5.4","45.7","2013","Guard"
"2322","Tony Parker","SAS","32","23","23","100%","7.3","14.4","50.6","52.6","89.5%","6.7","12.9","52.2","10.5%","0.6","1.5","37.1","2013","Guard"
"2323","Jeff Teague","ATL","26","7","7","100%","6.3","14.3","44.0","48.5","73.0%","5.0","10.4","47.9","27.0%","1.3","3.9","33.3","2013","Guard"
"2324","John Wall","WAS","23","11","11","100%","5.5","14.3","38.2","40.4","79.6%","4.8","11.4","42.4","20.4%","0.6","2.9","21.9","2013","Guard"
"2325","Mike Conley","MEM","26","7","7","100%","6.3","13.9","45.4","46.9","72.2%","5.9","10.0","58.6","27.8%","0.4","3.9","11.1","2013","Guard"
"2326","Klay Thompson","GSW","24","7","7","100%","5.7","13.7","41.7","50.0","54.2%","3.4","7.4","46.2","45.8%","2.3","6.3","36.4","2013","Guard"
"2327","Dwyane Wade","MIA","32","20","20","100%","7.0","13.4","51.7","53.3","91.1%","6.5","12.3","53.1","8.9%","0.5","1.2","37.5","2013","Guard"
"2328","Kemba Walker","CHA","24","4","4","100%","6.5","13.3","49.1","60.4","54.7%","3.5","7.3","48.3","45.3%","3.0","6.0","50.0","2013","Guard"
"2329","D.J. Augustin","CHI","26","5","5","100%","4.2","12.6","33.3","38.9","60.3%","2.8","7.6","36.8","39.7%","1.4","5.0","28.0","2013","Guard"
"2330","Gary Neal","CHA","29","4","4","100%","4.5","12.5","36.0","40.0","64.0%","3.5","8.0","43.8","36.0%","1.0","4.5","22.2","2013","Guard"
"2331","Jamal Crawford","LAC","34","13","13","100%","5.2","12.5","42.0","50.3","53.1%","3.1","6.6","47.7","46.9%","2.1","5.8","35.5","2013","Guard"
"2332","Deron Williams","BKN","30","12","12","100%","5.0","11.8","42.3","48.6","63.4%","3.5","7.5","46.7","36.6%","1.5","4.3","34.6","2013","Guard"
"2333","Wesley Matthews","POR","27","11","11","100%","5.1","11.8","43.1","51.5","48.5%","3.1","5.7","54.0","51.5%","2.0","6.1","32.8","2013","Guard"
"2334","Lance Stephenson","IND","23","19","19","100%","5.3","10.9","48.3","54.1","67.6%","4.0","7.4","54.3","32.4%","1.3","3.5","35.8","2013","Guard"
"2335","Kirk Hinrich","CHI","33","5","5","100%","4.6","10.6","43.4","50.0","64.2%","3.2","6.8","47.1","35.8%","1.4","3.8","36.8","2013","Guard"
"2336","Jimmy Butler","CHI","24","5","5","100%","4.4","10.4","42.3","48.1","61.5%","3.2","6.4","50.0","38.5%","1.2","4.0","30.0","2013","Guard"
"2337","Kawhi Leonard","SAS","23","23","23","100%","5.3","10.0","52.4","58.9","68.4%","4.0","6.9","57.6","31.6%","1.3","3.2","41.1","2013","Guard"
"2338","JJ Redick","LAC","30","13","13","100%","4.7","9.9","47.3","57.4","50.4%","2.7","5.0","53.8","49.6%","2.0","4.9","40.6","2013","Guard"
"2339","Manu Ginobili","SAS","36","23","23","100%","4.5","9.9","45.4","54.4","54.2%","2.7","5.3","50.4","45.8%","1.8","4.5","39.4","2013","Guard"
"2340","Jeremy Lin","HOU","25","6","6","100%","4.2","9.5","43.9","48.2","59.6%","3.3","5.7","58.8","40.4%","0.8","3.8","21.7","2013","Guard"
"2341","Vince Carter","DAL","37","7","7","100%","4.4","9.3","47.7","59.2","52.3%","2.3","4.9","47.1","47.7%","2.1","4.4","48.4","2013","Guard"
"2342","Kyle Korver","ATL","33","7","7","100%","4.3","9.3","46.2","63.8","18.5%","1.0","1.7","58.3","81.5%","3.3","7.6","43.4","2013","Guard"
"2343","Jose Calderon","DAL","32","7","7","100%","4.3","9.3","46.2","54.6","64.6%","2.7","6.0","45.2","35.4%","1.6","3.3","47.8","2013","Guard"
"2344","Tony Allen","MEM","32","7","7","100%","5.0","9.0","55.6","55.6","88.9%","5.0","8.0","62.5","11.1%","0.0","1.0","0.0","2013","Guard"
"2345","Devin Harris","DAL","31","7","7","100%","4.4","9.0","49.2","57.9","60.3%","2.9","5.4","52.6","39.7%","1.6","3.6","44.0","2013","Guard"
"2346","Gerald Henderson","CHA","26","4","4","100%","3.5","9.0","38.9","38.9","75.0%","3.5","6.8","51.9","25.0%","0.0","2.3","0.0","2013","Guard"
"2347","Greivis Vasquez","TOR","27","7","7","100%","3.9","8.7","44.3","52.5","55.7%","2.4","4.9","50.0","44.3%","1.4","3.9","37.0","2013","Guard"
"2348","George Hill","IND","28","19","19","100%","4.2","8.6","48.2","56.7","54.3%","2.7","4.7","57.3","45.7%","1.5","4.0","37.3","2013","Guard"
"2349","Andre Iguodala","GSW","30","7","7","100%","4.6","8.4","54.2","61.0","74.6%","3.4","6.3","54.5","25.4%","1.1","2.1","53.3","2013","Guard"
"2350","Reggie Jackson","OKC","24","19","19","100%","3.9","7.9","49.3","56.3","65.3%","2.8","5.2","54.1","34.7%","1.1","2.7","40.4","2013","Guard"
"2351","Courtney Lee","MEM","28","7","7","100%","3.6","7.7","46.3","51.9","64.8%","2.7","5.0","54.3","35.2%","0.9","2.7","31.6","2013","Guard"
"2352","Patrick Beverley","HOU","25","6","6","100%","3.2","7.7","41.3","48.9","52.2%","2.0","4.0","50.0","47.8%","1.2","3.7","31.8","2013","Guard"
"2353","Mo Williams","POR","31","8","8","100%","2.8","7.0","39.3","43.8","64.3%","2.1","4.5","47.2","35.7%","0.6","2.5","25.0","2013","Guard"
"2354","Ray Allen","MIA","38","20","20","100%","3.0","7.0","42.4","54.3","38.8%","1.3","2.7","48.1","61.2%","1.6","4.3","38.8","2013","Guard"
"2355","Shaun Livingston","BKN","28","12","12","100%","3.7","6.8","54.3","54.9","98.8%","3.6","6.7","53.8","1.2%","0.1","0.1","100","2013","Guard"
"2356","Lou Williams","ATL","27","7","7","100%","2.7","6.6","41.3","46.7","65.2%","2.0","4.3","46.7","34.8%","0.7","2.3","31.3","2013","Guard"
"2357","Danny Green","SAS","27","23","23","100%","3.4","6.5","52.0","68.0","35.3%","1.3","2.3","56.6","64.7%","2.1","4.2","49.5","2013","Guard"
"2358","Beno Udrih","MEM","31","7","7","100%","3.0","6.4","46.7","51.1","73.3%","2.4","4.7","51.5","26.7%","0.6","1.7","33.3","2013","Guard"
